neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
یک ربع پیش در تهران، شوش,86,1393,3,۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
یک ربع پیش در تهران، ظهیرآباد,67,1395,3,۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,1,1,0,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
۲ روز پیش در تهران، تهران‌نو,55,1394,4,۴٬۳۰۰٬۰۰۰٬۰۰۰ تومان,1,0,1,
۱ روز پیش در تهران، آهنگ,105,1401,2,۵۱۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، دریان‌نو,65,1385,2,۶٬۳۰۰٬۰۰۰٬۰۰۰ تومان,1,0,0,
دقایقی پیش در تهران، سلسبیل,60,1382,3,۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,1,0,1,
دقایقی پیش در تهران، جیحون,55,1395,4,۴٬۶۰۰٬۰۰۰٬۰۰۰ تومان,1,1,1,
,0,0,0,,0,0,0,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
۵ روز پیش در تهران، نازی‌آباد,100,1402,2,۴۹۵٬۰۰۰٬۰۰۰ تومان,2,1,1,
۱ روز پیش در تهران، مولوی,102,1403,3,۴۹۸٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، قلهک,152,1386,2,۲۶٬۹۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، آبشار,59,1379,4,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,1,0,0,
دقایقی پیش در تهران، گمرک,120,1403,5,۸۵٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، الهیه,150,1404,7,۱٬۱۱۱ تومان,3,1,1,
دقایقی پیش در تهران، ایوانک,195,1381,6,۳۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، شهرک غرب,170,1379,1,۳۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، ایوانک,156,1381,2,۲۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، بهداشت,192,1396,2,۱۰۸٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، چیتگر,96,1402,2,۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، هروی,100,1401,3,۲۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، سعادت‌آباد,78,1403,2,۲۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,1,1,1,
دقایقی پیش در تهران، شهرک راه‌آهن,157,1402,7,۱۳٬۳۴۵٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، سازمان برنامه,81,1382,5,۱۰٬۸۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، اسفندیاری,0,0,2,۲٬۵۰۰٬۰۰۰٬۰۰۰ تومان,0,0,0,
دقایقی پیش در تهران، توحید,58,1379,4,۴٬۱۵۰٬۰۰۰٬۰۰۰ تومان,2,0,0,
یک ربع پیش در تهران، چیتگر,102,1403,1,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
یک ربع پیش در تهران، گیشا (کوی نصر),190,1401,3,۴۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
یک ربع پیش در تهران، امامزاده قاسم,191,1382,3,۳۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,4,1,1,
یک ربع پیش در تهران، گیشا (کوی نصر),140,1401,2,۲۹٬۵۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
یک ربع پیش در تهران، گیشا (کوی نصر),210,1395,2,۱۱٬۱۱۱ تومان,4,1,1,
یک ربع پیش در تهران، هفت حوض,60,1399,1,۵٬۱۰۰٬۰۰۰٬۰۰۰ تومان,3,0,1,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
۵ روز پیش در تهران، هاشمی,120,1403,3,۹٬۰۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
۲ روز پیش در تهران، شهر زیبا,0,0,7,۱٬۲۵۰٬۰۰۰٬۰۰۰ تومان,0,1,1,
دقایقی پیش در تهران، شهرک غرب,169,1375,2,۳۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، بیسیم,100,1402,2,۴۹۵٬۰۰۰٬۰۰۰ تومان,2,1,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، گیشا (کوی نصر),85,1403,3,۱۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، گیشا (کوی نصر),95,1395,4,۱۵٬۸۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، مرزداران,58,1390,3,۸٬۹۰۰٬۰۰۰٬۰۰۰ تومان,1,1,1,
دقایقی پیش در تهران، گیشا (کوی نصر),200,1402,4,۴۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، سنگلج,41,1380,2,۱٬۹۰۰٬۰۰۰٬۰۰۰ تومان,1,0,0,
دقایقی پیش در تهران، دولت‌آباد,95,1402,3,۴۹۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، آبشار,59,1379,4,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,1,0,0,
دقایقی پیش در تهران، گمرک,120,1403,5,۸۵٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، الهیه,150,1404,7,۱٬۱۱۱ تومان,3,1,1,
دقایقی پیش در تهران، ایوانک,195,1381,6,۳۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، شهرک غرب,170,1379,1,۳۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، ایوانک,156,1381,2,۲۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
یک ربع پیش در تهران، بهداشت,192,1396,2,۱۰۸٬۰۰۰٬۰۰۰ تومان,3,1,1,
یک ربع پیش در تهران، چیتگر,96,1402,2,۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
یک ربع پیش در تهران، هروی,100,1401,3,۲۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
یک ربع پیش در تهران، سعادت‌آباد,78,1403,2,۲۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,1,1,1,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
۲ روز پیش در تهران، امامت,55,1394,4,۴٬۳۰۰٬۰۰۰٬۰۰۰ تومان,1,0,1,
۴ روز پیش در تهران، گیشا (کوی نصر),250,1401,4,۳۹٬۸۵۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
۱ روز پیش در تهران، ابوذر (منطقه ۱۵),103,1402,0,۴۹۳٬۰۰۰٬۰۰۰ تومان,2,1,1,
۳ روز پیش در تهران، پیروزی,105,1403,0,۵۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، اباذر,216,1396,0,۳۳٬۶۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، کوی مهران,75,1394,0,۱۰٬۸۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، خاوران,108,1400,0,۵۱۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، چیتگر,100,1403,0,۲٬۱۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، شهرک ژاندارمری,170,1400,0,۳۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، استاد معین,66,1392,0,۴٬۱۰۰٬۰۰۰٬۰۰۰ تومان,2,1,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، افسریه,104,1402,0,۴۹۵٬۰۰۰٬۰۰۰ تومان,2,1,0,
دقایقی پیش در تهران، الهیه,0,0,0,۳۹٬۰۰۰٬۰۰۰٬۰۰۰ تومان,0,1,1,
دقایقی پیش در تهران، صفا,0,0,0,۱۰٬۲۰۰٬۰۰۰٬۰۰۰ تومان,0,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، شهرک ولیعصر,67,1390,0,۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,1,1,0,
دقایقی پیش در تهران، آبشار تهران,129,1404,0,۱۶٬۸۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، الهیه,180,1398,0,۵۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
neighborhood,area,construction_date,floor_number,total_price,number_of_rooms,elevator,parking,sotrage_room
۱ روز پیش در تهران، جوادیه,114,1401,0,۵۰۲٬۰۰۰٬۰۰۰ تومان,2,1,1,
۴ روز پیش در تهران، دکتر هوشیار,78,1395,0,۶٬۷۰۰٬۰۰۰٬۰۰۰ تومان,2,1,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، سعادت‌آباد,180,1400,0,۴۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، سلسبیل,60,1403,0,۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان,2,1,0,
دقایقی پیش در تهران، شهر‌زیبا,64,1402,0,۱٬۶۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، اختیاریه,180,1388,0,۲۹٬۵۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
دقایقی پیش در تهران، اکباتان,50,1396,0,۱٬۵۵۰٬۰۰۰٬۰۰۰ تومان,1,1,1,
دقایقی پیش در تهران، شهر‌زیبا,49,1398,0,۱٬۴۵۰٬۰۰۰٬۰۰۰ تومان,1,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، فیروزآبادی، خ کاشانی,250,1373,0,۱۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,3,0,1,
دقایقی پیش در تهران، آذری,100,1403,0,۴۹۸٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، اتحاد,110,1403,0,۵۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
,0,0,0,,0,0,0,
,0,0,0,,0,0,0,
دقایقی پیش در تهران، الهیه,150,1392,0,۴۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، زیبادشت,116,1397,0,۱۰٬۴۰۰٬۰۰۰٬۰۰۰ تومان,2,1,1,
دقایقی پیش در تهران، اباذر,216,1396,0,۳۳٬۶۰۰٬۰۰۰٬۰۰۰ تومان,3,1,1,
,0,0,0,,0,0,0,
